Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-03 00:00:00-04:00,483.1336093425783,485.03325302784384,478.1335842410971,484.6986083984375,2487600,0.0,0.0
2024-05-06 00:00:00-04:00,484.7281489658397,487.0805136465686,484.2556935733455,486.5982360839844,2029500,0.0,0.0
2024-05-07 00:00:00-04:00,488.1926969197385,493.75375691551426,487.2478162393464,493.0746154785156,3752100,0.0,0.0
2024-05-08 00:00:00-04:00,496.23412583564647,499.0195670071019,492.20847804380537,495.2892150878906,3078900,0.0,0.0
2024-05-09 00:00:00-04:00,494.2360591307528,499.97427856000724,494.2360591307528,499.049072265625,2342900,0.0,0.0
2024-05-10 00:00:00-04:00,500.9881022447479,505.49602772625934,499.0195831789532,504.7381286621094,2784600,0.0,0.0
2024-05-13 00:00:00-04:00,503.9900545591634,506.5688095899905,499.32467423735307,503.6849365234375,2454500,0.0,0.0
2024-05-14 00:00:00-04:00,506.48028396663915,508.04522297208933,499.3148457779989,505.7912902832031,2949700,0.0,0.0
2024-05-15 00:00:00-04:00,506.72631599759995,514.3641790399842,506.72631599759995,509.4034729003906,2981200,0.0,0.0
2024-05-16 00:00:00-04:00,511.8149735705969,519.846505184645,511.3326959958729,513.0650024414062,3655800,0.0,0.0
2024-05-17 00:00:00-04:00,514.708669341568,517.5728380761241,511.8247961930401,516.3720703125,2657200,0.0,0.0
2024-05-20 00:00:00-04:00,516.3720759603019,516.3720759603019,508.409390023446,509.0885314941406,2476200,0.0,0.0
2024-05-21 00:00:00-04:00,510.161423742203,516.4606488987547,507.7991767619735,515.30908203125,2521900,0.0,0.0
2024-05-22 00:00:00-04:00,514.5905694910183,517.9961290572506,512.4547431533116,513.1436767578125,2299100,0.0,0.0
2024-05-23 00:00:00-04:00,510.1614223865068,512.0413317134963,507.1200339131262,508.69488525390625,3055400,0.0,0.0
2024-05-24 00:00:00-04:00,507.9861660440283,508.99998218454755,499.53138037844013,500.1711730957031,2527800,0.0,0.0
2024-05-28 00:00:00-04:00,498.67505235209416,498.67505235209416,493.999819889432,495.7518005371094,2912800,0.0,0.0
2024-05-29 00:00:00-04:00,484.59032365802756,486.1257660909959,465.82048758917006,477.09027099609375,7521600,0.0,0.0
2024-05-30 00:00:00-04:00,474.7280400666665,478.3796343306162,470.4760318999776,474.0685729980469,5170500,0.0,0.0
2024-05-31 00:00:00-04:00,474.8166071945705,490.5647584713717,474.8166071945705,487.5726013183594,6694800,0.0,0.0
2024-06-03 00:00:00-04:00,486.35214985598304,490.83051855058125,485.3088371925749,489.61004638671875,2795100,0.0,0.0
2024-06-04 00:00:00-04:00,490.7124140671575,500.269565404661,486.8049026494733,497.5333251953125,3178400,0.0,0.0
2024-06-05 00:00:00-04:00,500.6928072532899,501.0865050360874,490.94861441506424,495.20062255859375,2464400,0.0,0.0
2024-06-06 00:00:00-04:00,495.7223115487669,496.7558020885877,489.45258308194684,494.0195617675781,2419600,0.0,0.0
2024-06-07 00:00:00-04:00,494.137628983431,494.9446989144294,482.7005388346838,482.9662780761719,3416300,0.0,0.0
2024-06-10 00:00:00-04:00,483.2713971995344,487.59231066771525,478.53711157699274,487.20843505859375,3332800,0.0,0.0
2024-06-11 00:00:00-04:00,483.13359428666337,489.9446831095968,482.5725892109388,488.40924072265625,4599700,0.0,0.0
2024-06-12 00:00:00-04:00,492.1297799493691,492.1297799493691,479.7478079022189,485.3088684082031,4048200,0.0,0.0
2024-06-13 00:00:00-04:00,482.56273824490916,494.098260590054,476.7556133011943,489.47222900390625,4951700,0.0,0.0
2024-06-14 00:00:00-04:00,489.00966129921164,490.0136252687306,483.98996160048824,489.29510498046875,3188400,0.0,0.0
2024-06-17 00:00:00-04:00,485.6477413105433,487.4170483557587,483.0481826736051,483.5720520019531,2407200,2.1,0.0
2024-06-18 00:00:00-04:00,485.0349187919481,485.9739440853243,473.4998995103013,475.48663330078125,3692700,0.0,0.0
2024-06-20 00:00:00-04:00,474.4883647527526,480.30036761068277,472.58066220160936,478.9165344238281,5258100,0.0,0.0
2024-06-21 00:00:00-04:00,478.8374609076776,482.6528055851779,475.03198006836675,477.00885009765625,6776000,0.0,0.0
2024-06-24 00:00:00-04:00,483.206342935628,485.2128950405006,478.8967806067204,484.31341552734375,5139800,0.0,0.0
2024-06-25 00:00:00-04:00,484.96576443166157,484.96576443166157,475.04186855379004,478.8967590332031,3209900,0.0,0.0
2024-06-26 00:00:00-04:00,478.8967492828174,481.80275054612594,475.9017924907923,478.44207763671875,3153100,0.0,0.0
2024-06-27 00:00:00-04:00,479.44039190496636,483.32496443859986,476.4750868603061,480.8143310546875,2991900,0.0,0.0
2024-06-28 00:00:00-04:00,490.62948061755293,503.5087875789346,483.7499814006403,503.37042236328125,22734200,0.0,0.0
2024-07-01 00:00:00-04:00,500.8894522389254,503.0244755268347,487.18975718064485,488.92938232421875,4523100,0.0,0.0
2024-07-02 00:00:00-04:00,488.54389224771853,492.7051951473175,487.68395862495015,492.47784423828125,3312000,0.0,0.0
2024-07-03 00:00:00-04:00,491.3707918612708,492.31968099487045,480.8933750524962,484.22442626953125,2239200,0.0,0.0
2024-07-05 00:00:00-04:00,483.34475200974146,484.00701678289374,478.896794169161,482.3662109375,3499000,0.0,0.0
2024-07-08 00:00:00-04:00,483.53252691364054,488.1682895424893,480.54746403062074,483.6807861328125,3450600,0.0,0.0
2024-07-09 00:00:00-04:00,482.6824486089549,489.6706912743112,480.4683638692944,486.4187316894531,3056800,0.0,0.0
2024-07-10 00:00:00-04:00,485.26229303180475,495.7001644706982,484.4517690727172,495.1367492675781,3189800,0.0,0.0
2024-07-11 00:00:00-04:00,491.9441184446338,502.84655544049514,491.9441184446338,498.5270690917969,3535100,0.0,0.0
2024-07-12 00:00:00-04:00,501.057495281402,508.619017176684,497.6078365381434,505.6141662597656,3570600,0.0,0.0
2024-07-15 00:00:00-04:00,518.1771424189714,524.6909554588816,507.85787885131333,509.40972900390625,5128000,0.0,0.0
2024-07-16 00:00:00-04:00,527.7254951867479,543.5601835996214,521.0337706200113,542.5223388671875,11062000,0.0,0.0
2024-07-17 00:00:00-04:00,547.5929693738275,566.9761645146928,544.9241829084957,566.6500244140625,10330800,0.0,0.0
2024-07-18 00:00:00-04:00,557.971538577096,574.77493300723,554.9271419881431,557.8134155273438,6834800,0.0,0.0
2024-07-19 00:00:00-04:00,560.5612691719774,563.3091475123796,555.0457848144954,558.7919921875,4290400,0.0,0.0
2024-07-22 00:00:00-04:00,556.5383027561138,557.724436796549,550.6373748906424,552.0706176757812,3377300,0.0,0.0
2024-07-23 00:00:00-04:00,552.3275775158495,552.3770475297774,546.4167554614584,548.284912109375,2785600,0.0,0.0
2024-07-24 00:00:00-04:00,553.5235980069227,554.6405343792437,546.6243410371361,553.2764892578125,3156200,0.0,0.0
2024-07-25 00:00:00-04:00,555.5004517548208,563.2992181277019,552.1200210580492,553.207275390625,3102900,0.0,0.0
2024-07-26 00:00:00-04:00,553.523605218264,572.4323717728664,553.523605218264,563.1311645507812,3201900,0.0,0.0
2024-07-29 00:00:00-04:00,559.1676059217509,564.7423336744098,555.2632754637798,560.195556640625,2965000,0.0,0.0
2024-07-30 00:00:00-04:00,560.3437995107374,572.7288581121677,559.4442899182695,569.6647338867188,4139100,0.0,0.0
2024-07-31 00:00:00-04:00,558.9006495684886,574.1818753140194,555.8167374113764,569.4966430664062,4713200,0.0,0.0
2024-08-01 00:00:00-04:00,570.524694875292,580.7055633238792,560.5414651635574,566.1459350585938,3680800,0.0,0.0
2024-08-02 00:00:00-04:00,575.5953438001619,584.698791118057,568.5972074318784,583.0086059570312,5094000,0.0,0.0
2024-08-05 00:00:00-04:00,575.387813038401,580.0334698922136,560.2054649763692,563.3684692382812,4587400,0.0,0.0
2024-08-06 00:00:00-04:00,561.6387035169755,570.841031452695,556.0243996521183,561.7770385742188,3216500,0.0,0.0
2024-08-07 00:00:00-04:00,560.0571643960883,565.0389156160882,550.5880001354224,559.5333251953125,4320700,0.0,0.0
2024-08-08 00:00:00-04:00,557.8430376874297,565.8296091156802,557.8430376874297,559.69140625,2860800,0.0,0.0
2024-08-09 00:00:00-04:00,558.0110351369142,559.3849741722689,551.1809762974649,552.2979125976562,2976700,0.0,0.0
2024-08-12 00:00:00-04:00,555.8167574792915,562.4194958145423,554.5614257667427,558.7523803710938,2532400,0.0,0.0
2024-08-13 00:00:00-04:00,563.3980284088323,569.0716353783214,562.419487459435,567.598876953125,2369400,0.0,0.0
2024-08-14 00:00:00-04:00,568.5873049109184,574.3993071811695,566.640117038276,572.966064453125,2344400,0.0,0.0
2024-08-15 00:00:00-04:00,572.9660419621173,576.5936414845488,566.877309519054,572.90673828125,2751800,0.0,0.0
2024-08-16 00:00:00-04:00,574.2016040007418,574.9232025252581,567.460470522693,570.9990844726562,2728900,0.0,0.0
2024-08-19 00:00:00-04:00,571.3945092304833,576.5541108598993,570.3961802495705,572.08642578125,1847900,0.0,0.0
2024-08-20 00:00:00-04:00,573.144018179265,577.0582425494443,568.8443500042572,573.934814453125,1677500,0.0,0.0
2024-08-21 00:00:00-04:00,574.78486246227,576.6431251402096,570.7520306580939,571.3846435546875,2844300,0.0,0.0
2024-08-22 00:00:00-04:00,572.5509380496086,576.208159387426,564.0207397051511,572.0270385742188,2282000,0.0,0.0
2024-08-23 00:00:00-04:00,574.280766413007,578.4420997091734,571.7602690909935,577.7501831054688,2376400,0.0,0.0
2024-08-26 00:00:00-04:00,581.2491870536851,585.2425030463554,578.9659046271895,580.33984375,1800000,0.0,0.0
2024-08-27 00:00:00-04:00,582.6527282703008,585.4895921150484,577.0285912509116,580.5572509765625,1581900,0.0,0.0
2024-08-28 00:00:00-04:00,582.1980552509903,585.9837778436714,577.1174853410278,581.7334594726562,1657000,0.0,0.0
2024-08-29 00:00:00-04:00,583.8487330294199,585.7564051911372,577.6117110789814,584.7284545898438,1953200,0.0,0.0
2024-08-30 00:00:00-04:00,583.1766295543555,586.3989371940698,579.8060928674087,583.3743286132812,2944700,0.0,0.0
2024-09-03 00:00:00-04:00,585.6675532772562,593.7133687085259,584.9756366785891,591.7562866210938,3175500,0.0,0.0
2024-09-04 00:00:00-04:00,593.0609760594249,600.9091520557826,590.9654987703575,597.192626953125,2935000,0.0,0.0
2024-09-05 00:00:00-04:00,597.202545993313,598.9916109329281,582.8504504655886,588.6031494140625,2144800,0.0,0.0
2024-09-06 00:00:00-04:00,588.9787827727876,593.6639552122019,585.4105467555121,589.9771118164062,2926400,0.0,0.0
2024-09-09 00:00:00-04:00,591.4004753928461,592.5470335234804,568.6170592080449,587.229248046875,3411400,0.0,0.0
2024-09-10 00:00:00-04:00,588.3264050308792,597.8054626864182,584.313361432982,592.1022338867188,2863500,0.0,0.0
2024-09-11 00:00:00-04:00,582.3265735616797,584.5604461731295,572.274146810155,582.9295043945312,3563600,0.0,0.0
2024-09-12 00:00:00-04:00,581.7236418572787,583.6807237252399,576.4651607581081,581.6148681640625,3395800,0.0,0.0
2024-09-13 00:00:00-04:00,584.2441357505437,590.767782161677,580.438625069649,587.4466552734375,2241900,0.0,0.0
2024-09-16 00:00:00-04:00,590.2042326989879,593.9636630747433,583.0225976048241,584.3914794921875,2548600,2.1,0.0
2024-09-17 00:00:00-04:00,581.2867402372385,581.9909788546304,571.7442827542944,573.3016357421875,3416000,0.0,0.0
2024-09-18 00:00:00-04:00,572.2104794502061,579.8087735629321,567.697164672582,575.969970703125,2988300,0.0,0.0
2024-09-19 00:00:00-04:00,579.0151879182995,580.1162873314818,569.9489023283378,572.4188232421875,2945700,0.0,0.0
2024-09-20 00:00:00-04:00,567.0920887475687,574.1745546111595,565.0586239328073,570.365478515625,5398700,0.0,0.0
2024-09-23 00:00:00-04:00,571.843461089155,574.7597670097847,567.3896603304676,568.7882690429688,2386100,0.0,0.0
2024-09-24 00:00:00-04:00,566.2191822427133,572.6568629759041,561.4380243111327,570.553955078125,3188500,0.0,0.0
2024-09-25 00:00:00-04:00,573.2123409109455,576.4262167004266,568.4609702892386,571.6649169921875,2658800,0.0,0.0
2024-09-26 00:00:00-04:00,570.3654729659204,571.9525526734111,566.3084119192025,570.177001953125,2751900,0.0,0.0
2024-09-27 00:00:00-04:00,573.0238447776597,581.9810913012628,571.9426641708351,577.1602172851562,2986200,0.0,0.0
2024-09-30 00:00:00-04:00,578.7969254223414,581.6933729470786,574.0752818622316,579.9674072265625,3009700,0.0,0.0
2024-10-01 00:00:00-04:00,580.2848206201519,583.9550102267323,576.0889343679547,578.5985107421875,2648400,0.0,0.0
2024-10-02 00:00:00-04:00,599.3896442251188,599.6475582991834,579.5409161270751,587.5359497070312,3667000,0.0,0.0
2024-10-03 00:00:00-04:00,585.8495852468462,588.4484628324316,579.6598902172627,587.9723510742188,2645800,0.0,0.0
2024-10-04 00:00:00-04:00,587.3574334526122,591.3251934283551,583.6971724532609,586.4349365234375,2462600,0.0,0.0
2024-10-07 00:00:00-04:00,584.0442716128977,587.6648764632428,578.6283185094483,578.8564453125,2591100,0.0,0.0
2024-10-08 00:00:00-04:00,583.3202075900813,584.4609627557611,574.8887179715043,576.8924560546875,2231400,0.0,0.0
2024-10-09 00:00:00-04:00,577.4677383315425,588.021993997145,575.9302435078904,586.4547119140625,2207700,0.0,0.0
2024-10-10 00:00:00-04:00,590.3827993307781,594.1224322347415,587.9823216561043,592.8825073242188,2143200,0.0,0.0
2024-10-11 00:00:00-04:00,591.6822513919038,596.6717384037024,591.3946106018119,593.2296752929688,1909700,0.0,0.0
2024-10-14 00:00:00-04:00,594.2811059849225,603.7243933183984,592.5650693114598,600.5204467773438,2447100,0.0,0.0
2024-10-15 00:00:00-04:00,547.5707318324984,565.108223564214,538.6234137622878,551.8062744140625,11939400,0.0,0.0
2024-10-16 00:00:00-04:00,552.5204692249781,571.5359407009954,550.6456882298643,566.7349853515625,5103900,0.0,0.0
2024-10-17 00:00:00-04:00,556.0616888470937,564.8799885889149,554.2166346111219,561.4677734375,5588700,0.0,0.0
2024-10-18 00:00:00-04:00,562.2811568501473,566.3481471186986,558.5018679251934,565.0189208984375,3687000,0.0,0.0
2024-10-21 00:00:00-04:00,565.0486850923846,574.6110006975,564.116259121874,566.8638916015625,3018000,0.0,0.0
2024-10-22 00:00:00-04:00,563.2730368566478,568.4212072575496,560.9320732693197,565.266845703125,2593800,0.0,0.0
2024-10-23 00:00:00-04:00,567.518609814432,569.512418805685,555.4863733482707,560.0889892578125,2911900,0.0,0.0
2024-10-24 00:00:00-04:00,560.4360963047106,567.0920346141918,555.7938249879013,556.289794921875,2590200,0.0,0.0
2024-10-25 00:00:00-04:00,561.5967233362019,566.893709571209,559.0672884467577,560.0096435546875,2513700,0.0,0.0
2024-10-28 00:00:00-04:00,561.686012130365,563.7492642351904,558.2737361868203,560.6841430664062,1826500,0.0,0.0
2024-10-29 00:00:00-04:00,558.2836230832283,563.1044364780846,556.1409989900432,557.5991821289062,2600300,0.0,0.0
